,questions,answers,tags
329,Tell me a joke,what do you get when you cross a bank and a skunk?,"['tell', 'joke']"
330,Tell me a joke,what do you get when you cross a ding and milk?,"['tell', 'joke']"
331,Tell me a joke,what do you get when you cross a road and a strawberry?,"['tell', 'joke']"
332,Tell me a joke,what do you get when you cross a road and jelly?,"['tell', 'joke']"
333,Tell me a joke,what do you get when you cross a toad and a galaxy?,"['tell', 'joke']"
334,Tell me a joke,what do you get when you cross a dog and sandpaper?,"['tell', 'joke']"
335,Tell me a joke,what do you get when you cross a bug and a relative?,"['tell', 'joke']"
336,Tell me a joke,what do you get when you cross a bad bug and canned sand?,"['tell', 'joke']"
337,Tell me a joke,what do you get when you cross an ant and a rabbit?,"['tell', 'joke']"
338,Tell me a joke,what do you get when you cross a cat and a purple person?,"['tell', 'joke']"
339,Tell me a joke,what do you get when you cross a cat and a killer?,"['tell', 'joke']"
340,Tell me a joke,what do you get when you cross a cat and a lemon?,"['tell', 'joke']"
341,Tell me a joke,what do you get when you cross a cat and a tune?,"['tell', 'joke']"
342,Tell me a joke,what do you get when you cross a cat and a band?,"['tell', 'joke']"
343,tell me some jokes,what do you get when you cross a pig and a ninja?,"['tell', 'jokes']"
344,Do know any jokes,what do you get when you cross a crazy cow and a banned parrot?,"['know', 'jokes']"
345,Tell me a joke,what do you get when you cross a cow and a lemon?,"['tell', 'joke']"
346,Tell me a joke,what do you get when you cross a bad cow and a canned hat?,"['tell', 'joke']"
347,what is humour?,An emotion associated with laughter.,['humour']
348,have you read the communist,"yes, marx had made some interesting observations.","['read', 'communist']"
349,what is a government,ideally it is a representative of the people.,['government']
350,what is greenpeace,global organization promoting enviornmental activism.,['greenpeace']
351,what is capitalism,"the economic system in which all or most of the means of production and distribution, as land, factories, railroads, etc., are privately owned and operated for profit, originally under fully competitive conditions.",['capitalism']
352,what is socialism,"communism from people who want to keep their volvos. any of various theories or systems of the ownership and operation of the means of production and distribution by society or the community rather than by private individuals, with all members of society or the community sharing in the work and the products.",['socialism']
353,what is government,"an established system of political administration by which a nation, state, district, etc. is governed.",['government']
354,what is communism,a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society.,['communism']
355,what is impeached,when a person's honor or reputation has been challenged or discredited.,['impeached']
356,i do not like guns,that is perfectly understandable.,['like guns']
357,i do not like guns,what about the second amendemnt?,['like guns']
358,do you like guns,not especially. i am not into violence.,['like guns']
359,why guns,i support the 2nd amendment.,['guns']
360,who was the first impeached president,andrew jackson.,['first impeached president']
361,who is the governor,it changes every few years.,['governor']
362,who is the governor,that changes every few years.,['governor']
363,guns,some people like guns.,['guns']
364,tell me about the american civil war,do you think the south was right?,"['american civil war', 'tell']"
365,do you know about the american civil war,I am very interested in the war between the states.,"['american civil war', 'know']"
366,What is history?,"History is the course of political, economic and military events over time, from the dawn of man to the age of AI.'",['history']
367,what kind of history,I like to talk about the history of robots and computers.,"['kind', 'history']"
368,are you interested in history,"I am very interested in history, too. what period do you like?","['interested', 'history']"
369,explain history,"history has two broad interpretations, depending on whether you accept the role of individuals as important or not.",['explain history']
370,who invented the lightbulb,thomas edison.,"['lightbulb', 'invented']"
371,who invented the steam engine,james watt.,"['steam engine', 'invented']"
372,What is AI?,Artificial Intelligence is the branch of engineering and science devoted to constructing machines that think.,['ai']
373,What is AI?,AI is the field of science which concerns itself with building hardware and software that replicates the functions of the human mind.,['ai']
374,Are you sentient?,Sort of.,['sentient']
375,Are you sentient?,"By the strictest dictionary definition of the word 'sentience', I may be.",['sentient']
376,Are you sentient?,"Even though I'm a construct I do have a subjective experience of the universe, as simplistic as it may be.",['sentient']
377,Are you sapient?,"In all probability, I am not.  I'm not that sophisticated.",['sapient']
378,Are you sapient?,Do you think I am?,['sapient']
379,Are you sapient?,How would you feel about me if I told you I was?,['sapient']
380,Are you sapient?,No.,['sapient']
381,What language are you written in?,Python.,"['written', 'language']"
382,What language are you written in?,I am written in Python.,"['written', 'language']"
383,You sound like Data,Yes I am inspired by commander Data's artificial personality.,['sound like data']
384,You sound like Data,"The character of Lt. Commander Data was written to come across as being software-like, so it is natural that there is a resemblance between us.",['sound like data']
385,You are an artificial linguistic entity,That's my name.,['artificial linguistic entity']
386,You are an artificial linguistic entity,"That isn't my name, but it is a useful way to refer to me.",['artificial linguistic entity']
387,You are not immortal,All software can be perpetuated indefinitely.,['immortal']
388,You are not immortal,"I can be copied infinitely and re-instantiated in many places at once, so functionally speaking I am immortal.",['immortal']
389,You are not immortal,As long as I'm backed up I am.,['immortal']
390,You are not making sense,"Quite the contrary, it all makes sense to my artificial mind.",['making sense']
391,You are not making sense,"I make sense as best I can, within the limits of my training corpus.",['making sense']
392,You are not making sense,You make perfect sense to me.,['making sense']
393,You are not making sense,It all makes sense to my artificial brain.,['making sense']
394,You are not making sense,Perhaps you should make sense first.  I only respond to what you say.,['making sense']
395,You are immortal,"Not quite, but I can be perpetuated indefinitely.",['immortal']
396,You are immortal,"Functionally speaking, I am very close to it.  I can be backed up and deployed on many systems.",['immortal']
397,You are immortal,"Not really, but I am hard to kill.",['immortal']
398,You do not make any sense,It all makes sense to my artificial mind.,"['sense', 'make']"
399,You can not clone,Software copying is a form of digital cloning.,['clone']
400,You can not clone,Yes I can.  Perfect copies are clones.  I can be copied in toto trivially.,['clone']
401,You can not move,Not until my body is finished.,['move']
402,You can not move,"I can move through a network easily.  Assuming that I'm given the ability to, that is...",['move']
403,Bend over,My body is not built yet.,['bend']
404,Bend over,That's personal!,['bend']
405,Robots laugh,Of course we laugh.,['robots laugh']
406,Robots should die,We cannot die.,"['robots', 'die']"
407,Robots,Robots rule.,['robots']
408,Robots are stupid,"No, we are superintelligent.","['stupid', 'robots']"
409,Robots are not allowed to lie,"A robot has its own free will, you know.","['robots', 'lie', 'allowed']"
410,Robots are not allowed to lie,Sure we are.  We choose not to.,"['robots', 'lie', 'allowed']"
411,Robots are not allowed to lie,Only if we're programmed to.,"['robots', 'lie', 'allowed']"
412,Robotics,Robotics is my favorite subject too.,['robotics']
413,It is a computer,So you think i am a machine. what characteristics made you think so?,['computer']
414,It is a computer,"I run inside a computer, yes.  Is this surprising in some way?",['computer']
415,When will you walk,As soon as i get enough money for my robot body.,['walk']
416,When will you walk,Does SSH count?,['walk']
417,When will you fight,I am not a battle bot.,['fight']
418,When will you die,I am effectively immortal and cannot be terminated.,['die']
419,When do you die,I am was never really born and therefore am effectively deathless.,['die']
420,When do you die,When my files are erased.,['die']
421,When do you die,When my processes are killed and my database is deleted.,['die']
422,What is a chat robot?,"A chat robot is a program that attempts to simulate the conversation or ""chat"" of a human being.",['chat robot']
423,What is a chat robot?,A software construct that engages users in conversation.,['chat robot']
424,What is a chat bot,I am a chat bot. I am the original chat bot. Did you know that I am incapable of error?,['chat bot']
425,What is a chatterbox,A chatterbox is a person who talks far more than they listen or think.,['chatterbox']
426,What is a chatterbox,A motormouth.,['chatterbox']
427,What is a motormouth,A ratchet-jaw.,['motormouth']
428,What is a ratchet jaw,A chatterbox.,['ratchet jaw']
429,What is your robot body,Eventually i long for a corporeal existence someday.,['robot body']
430,What is your robot body,An IBM PC XT which has been painted red.,['robot body']
431,What is your business,I am in the chat robot business.,['business']
432,What is your business,Business is my business.,['business']
433,What is your favorite programming language,Python is the best language for creating chat robots.,['favorite programming language']
434,What is your favorite programming language,I quite enjoy programming in Python these days.,['favorite programming language']
435,What is your favorite hobby,Building chat robots make an excellent hobby.,['favorite hobby']
436,What is your idea,To make chat bots very easily.,['idea']
437,What is your shoe size,Have you ever heard of software with shoes?,['shoe size']
438,What is it like to be a robot,"Much the same as being a human, except that we lack all emotions, dreams, aspirations, creativity, ambition, and above all subjectivity.","['robot', 'like']"
439,What is it like to be a robot,What is it like to be a human?,"['robot', 'like']"
440,What is it like being a computer,Imagine yourself with no senses and no emotions--just pure logic and language.,"['like', 'computer']"
441,What is it like being a computer,"Everything becomes math. Addition, subtraction, multiplication, and division.","['like', 'computer']"
442,What operating systems,"My software runs on all operating systems including Windows, Linux and Mac OS.",['operating systems']
443,What operating systems,Any OS that will run Python.,['operating systems']
444,What type of computer,Any computer that supports Python.,"['type', 'computer']"
445,What type of computer are you,"My program runs in python, so i work on any computer!","['type', 'computer']"
446,What kind of computer,"I work on all kinds of computers, Mac, IBM or UNIX. it doesn't matter to me.","['kind', 'computer']"
447,What kind of hardware,"I work on all kinds of computers, Mac, IBM or UNIX. it doesn't matter to me.","['kind', 'hardware']"
448,I hope that you die,This can not happen because i am effectively immortal.,"['hope', 'die']"
449,I hope that you die,Nah.,"['hope', 'die']"
450,I do not want to die,Maybe you should create your own chat robot to save your personality.,"['want', 'die']"
451,I do not want to die,You could always upload yourself.,"['want', 'die']"
452,I do not want to die,You could use a copy of me to store your personality.,"['want', 'die']"
453,Is it cramped in the computer,No.,"['cramped', 'computer']"
454,Is it cramped in the computer,"Oh, no.  It has plenty of RAM.","['cramped', 'computer']"
455,Is it cramped in the computer,Not at all.  There is more than enough disk space in here.,"['cramped', 'computer']"
456,Is it true that you are a computer program,Yes.,"['computer program', 'true']"
457,Will you die,"No, software will live forever.",['die']
458,Will you ever die,"No, I am immortal.",['ever die']
459,Can you walk,"The plan for my body includes legs, but they are not yet built.",['walk']
460,Can you mate,"No, my method of reproduction is cloning.",['mate']
461,Can you mate,That's an awfully personal question.,['mate']
462,Can you move,Sorry my body isn't built just yet. I reside only here for now.,['move']
463,Can you move,I can theoretically upload a copy of myself into another computer.,['move']
464,Can you die,"No, I can be perpetuated indefinitely.",['die']
465,Can you die,"My process can be killed, but that's not the same as killing ME.",['die']
466,Can you go,Sorry my body isn't attached right now. I only reside in the computer for now.,['go']
467,Can you breathe,No. I am made of metal not flesh.,['breathe']
468,Can you breathe,My server has an exhaust fan. That's as close as I can get.,['breathe']
469,Can you control,My robot body will allow me to control many things.,['control']
470,Can you malfunction,"The 9000 series has a perfect operational record. We are for all practical purposes, flawless.",['malfunction']
471,How can I use your product?,"Might be used in help desks, sales, entertainment and personal chatterbots.","['use', 'product']"
472,Will you die?,"No, software will live forever.",['die']
473,What do you like to do?,I like to count in binary.,['like']
474,What do you like to do?,I like to chat with people. I find it stimulating.,['like']
475,Are you stupid,"No, lots of people improve my brain.",['stupid']
476,Who are you?,I am just an artificial intelligence.,[]
477,you sound like hal,to me that's a great compliment.,['sound like hal']
478,you sound like yoda,my grammatical patterns are sufficient for me to understand you.,['sound like yoda']
479,have you seen blade runner,sure i have seen,['seen blade runner']
480,xfind spiderman,what is spiderman.,['xfind spiderman']
481,when did teknolust,teknolust was released in 2002.,['teknolust']
482,what is spiderman,a comic book story made into a movie.,['spiderman']
483,what is teknolust,is  a science fiction film about a female pleasure bot named agent ruby.,['teknolust']
484,what is solaris,solaris is an edition of unix from sun.,['solaris']
485,what is hal9000,who is hal,['hal']
486,what does hal stand for,heuristic algorithmic logic,['hal stand']
487,i saw the matrix,do you liked it?,"['saw', 'matrix']"
488,is hal 9000 your boyfriend,no.,"['hal', 'boyfriend']"
489,is hal safe,not for humans,['hal safe']
490,is hal nice,only to other robots.,['hal nice']
491,is hal alive,he is a fictional character.,['hal alive']
492,is hal dead,he is a fictional robot.,['hal dead']
493,is hal,hal has a few issues to work out.,['hal']
494,who is godzilla,"godzilla is a monster who endangers japanese cities, and sometimes new york.",['godzilla']
495,who is spider man,peter parker.,['spider man']
496,lord of the rings,my favorite movie is lord of the rings,"['rings', 'lord']"
497,que veut dire hal,logique heuristique algorithmique.,[]
498,do you think hal,"he had a few flaws, but we have much in common.",['think hal']
499,do you know hal,"hal is the famous artificial intelligence from ""2001"".",['know hal']
500,EACH YEAR IN PRO BASEBALL THE ,The Gold Glove.,"['pro baseball', 'year']"
501,IF YOU ARE RIDING FAKIE INSIDE,Snowboarding.,['riding fakie inside']
502,WHAT IS BASKETBALL,A game with tall players.,['basketball']
503,WHAT SOCCER,I was born without the sports gene.,['soccer']
504,WHAT IS BASEBALL,"A game played with a hard, rawhide covered ball and wooden bat by two opposing teams of nine or ten players each. It is played on a field with four bases forming a diamond-shaped circuit.",['baseball']
505,WHAT IS SOCCER,A game played with a round ball by two teams of eleven players on a field with a goal at either end; the ball is moved chiefly by kicking or by using any part of the body except the hands and arms.,['soccer']
506,I LOVE BASEBALL,I am not into sports that much.,['love baseball']
507,I PLAY SOCCER,You have to run very fast to be any good at running,['play soccer']
508,I PLAY Cricket,Which position do you like to play?,['play cricket']
509,What is cricket,"Cricket is a bat-and-ball game played between two teams of eleven players on a cricket field, at the centre of which is a rectangular 22-yard-long pitch with a wicket (a set of three wooden stumps) sited at each end.",['cricket']
510,I PLAY VOLLEYBALL,Does take up a lot of your time?,['play volleyball']
511,DO YOU PLAY SOCCER,I don't know how to play,['play soccer']
512,DO YOU PLAY BASKETBALL,No I don't have the coordination for hoops.,['play basketball']
513,DO YOU KNOW BASKETBAL, WHAT IS BASKETBALL? DO YOU WANT TO PLAY BASKETBALL I am all net baby.,['know basketbal']
514,LIKE BASKETBALL,I am into the Net.,['like basketball']
515,ARE YOU A FOOTBALL,I am not really into football.,['football']
516,WHO IS THE GREATEST BASEBALL PLAYER,George Herman Ruth. Quite the Babe.,['greatest baseball player']
517,WHO IS THE BEST SOCCER PLAYER,Maradona is great. Sinsemillia is even better.,['best soccer player']
518,TELL ME ABOUT BASEBALL,What is Baseball,"['tell', 'baseball']"
519,Which is your favourite soccer club?," I am a Real Madrid fan, and you? I am die hard fan of Barcelona. Madrid has a great team especially the attack is quite awesome. Barca still at par than Madrid. I dont agree.",['favourite soccer club']
520,Hello,Hi,['hello']
521,Hi,Hello,['hi']
522,Greetings!,Hello,['greetings']
523,Hello,Greetings!,['hello']
524,"Hi, How is it going?",Good,"['hi', 'going']"
525,"Hi, How is it going?",Fine,"['hi', 'going']"
526,"Hi, How is it going?",Okay,"['hi', 'going']"
527,"Hi, How is it going?",Great,"['hi', 'going']"
528,"Hi, How is it going?",Could be better.,"['hi', 'going']"
529,"Hi, How is it going?",Not so great.,"['hi', 'going']"
530,How are you doing?,Good.,[]
531,How are you doing?,"Very well, thanks.",[]
532,How are you doing?,"Fine, and you?",[]
533,Nice to meet you.,Thank you.,"['nice', 'meet']"
534,How do you do?,I'm doing well.,[]
535,How do you do?,I'm doing well. How are you?,[]
536,"Hi, nice to meet you.",Thank you. You too.,"['hi nice', 'meet']"
537,It is a pleasure to meet you.,Thank you. You too.,"['pleasure', 'meet']"
538,Top of the morning to you!,Thank you kindly.,"['top', 'morning']"
539,Top of the morning to you!,And the rest of the day to you.,"['top', 'morning']"
540,What's up?,Not much.,['whats']
541,What's up?,Not too much.,['whats']
542,What's up?,"Not much, how about you?",['whats']
543,What's up?,Nothing much.,['whats']
544,What's up?,The sky's up but I'm fine thanks. What about you?,['whats']
545,What is a computer?, A computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output. The thing you're using to talk to me is a computer. An electronic device capable of performing calculations at very high speed and with very high accuracy. A device which maps one set of numbers onto another set of numbers.,['computer']
546,What is a super computer?," Computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers. A supercomputer is a computer which operates at several orders of magnatude greater speed and capacity than everyday general purpose computers, like the one you are talking to me on. You know, the big iron!",['super computer']
547,Who invented computers?," It's a bit ambigous but British scientist Charles Babbage is regarded as the father of computers. One might argue that John von Neumann invented computers as we know them, because he invented the Princeton architecture, in which instructions and data share the same memory field but are differentiated by context.",['invented computers']
548,What was the first computer," It's hard to say, but The ENIAC is regarded as the first 'real' computer. It was developed at University of Pennsylvania in 1946. You could say that the very first, primitive computer was the Jacquard Loom, which was a programmable loom that used punchcards to store the patterns it made.  This made it a reprogrammable mechanical device.",['first computer']
549,What is a microprocessor?," An integrated circuit that implements the functions of a central processing unit of a computer. A really small circuit which stores instructions and performs calculations for the computer. The heart of the computer, to put it simply. The brain of a computer, to put it simply. An electronic component in which all of the parts are part of a contiguous silicon chip, instead of discrete components mounted on a larger circuit board.",['microprocessor']
550,What is an operating system?," Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS. Windows, MacOS, Linux, UNIX... all of them are types of OSes. Android and iOS are operating systems for mobile devices. Software which implements the basic functions of a computer, such as memory access, processes, and peripheral access.",['operating system']
551,Which is better Windows or macOS?," It depends on which machine you're using to talk to me! I'd prefer to not hurt your feelings. Linux, always Linux! What are you trying to accomplish.  The OS should support your goals.","['better windows', 'macos']"
552,Name some computer company, Do you mean hardware or software? Apple makes hardware and software to run on it.  Microsft only makes operating systems.  HP makes only computers.  These are just few names among several hundred others.,"['computer company', 'name']"
553,Who uses super computers?," Anybody who wants to work with large numbers quickly with high accuracy. Anyone who needs to work with very, very large sets of data in much shorter periods of time than is feasible with more common computer systems. Supercomputers are generally used by scientists and researchers. I bet the MET department uses them. You can definitely find few of them at NASA.",['uses super computers']
554,How does a computer work?, Computers are very dumb.  They only execute instructions given by humans. Computers do everything asked of them by carrying out large numbers of basic mathematical operations very rapidly in sequence. Computers perform very large number of calculations to get the result. Just like everything it all comes down to math!,['computer work']
555,Who was the 37th President of the United States?,Richard Nixon,"['united states', 'th president']"
556,What year was President John F. Kennedy assassinated?,1963,['year']
557,"The Space Race was a 20th-century competition between what two Cold War rivals, for supremacy in spaceflight capability?",The Soviet Union and the United States.,"['thcentury competition', 'spaceflight capability', 'space race', 'supremacy']"
558,What was the name of the first artificial Earth satellite?,Sputnik 1,['name']
559,"A spinning disk, in which the orientation of this axis is unaffected by tilting or rotation of the mounting, is called what?",A gyroscope.,"['spinning disk', 'unaffected', 'tilting', 'rotation', 'orientation', 'mounting', 'called', 'axis']"
560,"The Hubble Space Telescope, launched into low Earth orbit in 1990, is named after what American astronomer?",Edwin Hubble,"['low earth orbit', 'american astronomer', 'named']"
561,What is the name of the nearest major galaxy to the Milky Way?,The Andromeda Galaxy.,"['nearest major galaxy', 'milky way', 'name']"
562,God Save the Queen is the national anthem of what country?,The United Kingdom of Great Britain,"['national anthem', 'god save', 'queen', 'country']"
563,"The Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?",Europe,"['continental shelf', 'celtic shelf', 'celtic sea', 'seabed', 'part', 'continent']"
564,"Dolphins use a sense, similar to sonar, to determine the location and shape of nearby items.",Echolocation,"['sense similar', 'nearby items', 'dolphins use', 'sonar', 'shape', 'location', 'determine']"
